Constituents (Atomic Number : Fraction by Weight)

 Z=13	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
  MeV	 cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 2.26E+00 1.43E-02 1.18E+03 0.00E+00 0.00E+00 1.19E+03 1.18E+03
       1.098E-03 2.21E+00 1.63E-02 9.22E+02 0.00E+00 0.00E+00 9.24E+02 9.22E+02       
       1.205E-03 2.16E+00 1.86E-02 7.18E+02 0.00E+00 0.00E+00 7.20E+02 7.18E+02
       1.323E-03 2.11E+00 2.11E-02 5.60E+02 0.00E+00 0.00E+00 5.62E+02 5.60E+02
       1.453E-03 2.06E+00 2.38E-02 4.36E+02 0.00E+00 0.00E+00 4.38E+02 4.36E+02
       1.595E-03 2.00E+00 2.66E-02 3.77E+03 0.00E+00 0.00E+00 3.77E+03 3.77E+03
       1.751E-03 1.94E+00 2.95E-02 3.07E+03 0.00E+00 0.00E+00 3.07E+03 3.07E+03
       1.922E-03 1.87E+00 3.25E-02 2.48E+03 0.00E+00 0.00E+00 2.48E+03 2.48E+03
       2.110E-03 1.80E+00 3.55E-02 1.99E+03 0.00E+00 0.00E+00 1.99E+03 1.99E+03
       2.317E-03 1.73E+00 3.86E-02 1.57E+03 0.00E+00 0.00E+00 1.57E+03 1.57E+03
       2.543E-03 1.65E+00 4.17E-02 1.23E+03 0.00E+00 0.00E+00 1.23E+03 1.23E+03
       2.792E-03 1.58E+00 4.48E-02 9.55E+02 0.00E+00 0.00E+00 9.57E+02 9.55E+02
       3.065E-03 1.51E+00 4.81E-02 7.42E+02 0.00E+00 0.00E+00 7.43E+02 7.42E+02
       3.365E-03 1.43E+00 5.14E-02 5.76E+02 0.00E+00 0.00E+00 5.78E+02 5.76E+02
       3.695E-03 1.36E+00 5.50E-02 4.47E+02 0.00E+00 0.00E+00 4.48E+02 4.47E+02
       4.056E-03 1.28E+00 5.87E-02 3.46E+02 0.00E+00 0.00E+00 3.47E+02 3.46E+02
       4.453E-03 1.21E+00 6.26E-02 2.66E+02 0.00E+00 0.00E+00 2.68E+02 2.66E+02
       4.889E-03 1.13E+00 6.68E-02 2.05E+02 0.00E+00 0.00E+00 2.06E+02 2.05E+02
       5.367E-03 1.06E+00 7.13E-02 1.57E+02 0.00E+00 0.00E+00 1.58E+02 1.57E+02
       5.892E-03 9.79E-01 7.60E-02 1.20E+02 0.00E+00 0.00E+00 1.21E+02 1.20E+02
       6.469E-03 9.00E-01 8.10E-02 9.20E+01 0.00E+00 0.00E+00 9.30E+01 9.21E+01
       7.101E-03 8.22E-01 8.61E-02 7.02E+01 0.00E+00 0.00E+00 7.11E+01 7.02E+01
       7.796E-03 7.44E-01 9.14E-02 5.34E+01 0.00E+00 0.00E+00 5.42E+01 5.35E+01
       8.559E-03 6.69E-01 9.68E-02 4.06E+01 0.00E+00 0.00E+00 4.13E+01 4.07E+01
       9.397E-03 5.97E-01 1.02E-01 3.08E+01 0.00E+00 0.00E+00 3.15E+01 3.09E+01
       1.032E-02 5.29E-01 1.08E-01 2.33E+01 0.00E+00 0.00E+00 2.39E+01 2.34E+01
       1.132E-02 4.67E-01 1.13E-01 1.76E+01 0.00E+00 0.00E+00 1.82E+01 1.77E+01
       1.243E-02 4.11E-01 1.18E-01 1.33E+01 0.00E+00 0.00E+00 1.38E+01 1.34E+01
       1.365E-02 3.60E-01 1.22E-01 1.00E+01 0.00E+00 0.00E+00 1.05E+01 1.01E+01
       1.499E-02 3.14E-01 1.26E-01 7.54E+00 0.00E+00 0.00E+00 7.98E+00 7.66E+00
