Constituents (Atomic Number : Fraction by Weight)

 Z=18	: 1.000000
Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
1.000E-03 3.04E+00 7.08E-03 3.18E+03 0.00E+00 0.00E+00 3.18E+03 3.18E+03
1.098E-03 3.00E+00 8.34E-03 2.49E+03 0.00E+00 0.00E+00 2.50E+03 2.49E+03
1.205E-03 2.95E+00 9.82E-03 1.95E+03 0.00E+00 0.00E+00 1.96E+03 1.95E+03
1.323E-03 2.90E+00 1.15E-02 1.53E+03 0.00E+00 0.00E+00 1.53E+03 1.53E+03
1.453E-03 2.84E+00 1.35E-02 1.20E+03 0.00E+00 0.00E+00 1.20E+03 1.20E+03
1.595E-03 2.78E+00 1.57E-02 9.35E+02 0.00E+00 0.00E+00 9.38E+02 9.35E+02
1.751E-03 2.70E+00 1.81E-02 7.28E+02 0.00E+00 0.00E+00 7.31E+02 7.28E+02
1.922E-03 2.61E+00 2.08E-02 5.67E+02 0.00E+00 0.00E+00 5.69E+02 5.67E+02
2.110E-03 2.51E+00 2.38E-02 4.40E+02 0.00E+00 0.00E+00 4.42E+02 4.40E+02
2.317E-03 2.41E+00 2.70E-02 3.41E+02 0.00E+00 0.00E+00 3.43E+02 3.41E+02
2.543E-03 2.30E+00 3.05E-02 2.64E+02 0.00E+00 0.00E+00 2.66E+02 2.64E+02
2.792E-03 2.18E+00 3.42E-02 2.05E+02 0.00E+00 0.00E+00 2.07E+02 2.05E+02
3.065E-03 2.05E+00 3.81E-02 1.58E+02 0.00E+00 0.00E+00 1.61E+02 1.59E+02
3.365E-03 1.93E+00 4.22E-02 1.14E+03 0.00E+00 0.00E+00 1.14E+03 1.14E+03
3.695E-03 1.80E+00 4.65E-02 9.16E+02 0.00E+00 0.00E+00 9.17E+02 9.16E+02
4.056E-03 1.68E+00 5.09E-02 7.30E+02 0.00E+00 0.00E+00 7.31E+02 7.30E+02
4.453E-03 1.55E+00 5.54E-02 5.73E+02 0.00E+00 0.00E+00 5.75E+02 5.74E+02
4.889E-03 1.44E+00 5.99E-02 4.47E+02 0.00E+00 0.00E+00 4.49E+02 4.47E+02
5.367E-03 1.33E+00 6.44E-02 3.48E+02 0.00E+00 0.00E+00 3.50E+02 3.48E+02
5.892E-03 1.22E+00 6.89E-02 2.71E+02 0.00E+00 0.00E+00 2.72E+02 2.71E+02
6.469E-03 1.12E+00 7.32E-02 2.10E+02 0.00E+00 0.00E+00 2.12E+02 2.10E+02
7.101E-03 1.03E+00 7.75E-02 1.63E+02 0.00E+00 0.00E+00 1.64E+02 1.63E+02
7.796E-03 9.47E-01 8.18E-02 1.26E+02 0.00E+00 0.00E+00 1.27E+02 1.26E+02
8.559E-03 8.67E-01 8.60E-02 9.68E+01 0.00E+00 0.00E+00 9.78E+01 9.69E+01
9.397E-03 7.90E-01 9.01E-02 7.44E+01 0.00E+00 0.00E+00 7.53E+01 7.45E+01
1.032E-02 7.17E-01 9.43E-02 5.70E+01 0.00E+00 0.00E+00 5.78E+01 5.71E+01
1.132E-02 6.46E-01 9.84E-02 4.36E+01 0.00E+00 0.00E+00 4.44E+01 4.37E+01
1.243E-02 5.79E-01 1.03E-01 3.33E+01 0.00E+00 0.00E+00 3.40E+01 3.34E+01
