Constituents (Atomic Number : Fraction by Weight)

 Z=5	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 8.05E-01 1.61E-02 1.23E+03 0.00E+00 0.00E+00 1.23E+03 1.23E+03
       1.098E-03 7.82E-01 1.88E-02 9.37E+02 0.00E+00 0.00E+00 9.37E+02 9.37E+02
       1.205E-03 7.59E-01 2.19E-02 7.14E+02 0.00E+00 0.00E+00 7.15E+02 7.14E+02
       1.323E-03 7.34E-01 2.54E-02 5.44E+02 0.00E+00 0.00E+00 5.44E+02 5.44E+02
       1.453E-03 7.06E-01 2.94E-02 4.13E+02 0.00E+00 0.00E+00 4.14E+02 4.13E+02
       1.595E-03 6.74E-01 3.37E-02 3.14E+02 0.00E+00 0.00E+00 3.14E+02 3.14E+02
       1.751E-03 6.40E-01 3.84E-02 2.37E+02 0.00E+00 0.00E+00 2.38E+02 2.37E+02
       1.922E-03 6.03E-01 4.34E-02 1.79E+02 0.00E+00 0.00E+00 1.80E+02 1.79E+02
       2.110E-03 5.65E-01 4.88E-02 1.35E+02 0.00E+00 0.00E+00 1.36E+02 1.35E+02
       2.317E-03 5.26E-01 5.44E-02 1.02E+02 0.00E+00 0.00E+00 1.03E+02 1.02E+02
       2.543E-03 4.87E-01 6.01E-02 7.67E+01 0.00E+00 0.00E+00 7.72E+01 7.67E+01
       2.792E-03 4.49E-01 6.59E-02 5.76E+01 0.00E+00 0.00E+00 5.81E+01 5.77E+01
       3.065E-03 4.12E-01 7.17E-02 4.32E+01 0.00E+00 0.00E+00 4.37E+01 4.33E+01
       3.365E-03 3.77E-01 7.74E-02 3.24E+01 0.00E+00 0.00E+00 3.28E+01 3.24E+01
       3.695E-03 3.43E-01 8.29E-02 2.42E+01 0.00E+00 0.00E+00 2.46E+01 2.43E+01
       4.056E-03 3.12E-01 8.81E-02 1.81E+01 0.00E+00 0.00E+00 1.85E+01 1.81E+01
       4.453E-03 2.84E-01 9.30E-02 1.35E+01 0.00E+00 0.00E+00 1.38E+01 1.36E+01
       4.889E-03 2.58E-01 9.77E-02 1.00E+01 0.00E+00 0.00E+00 1.04E+01 1.01E+01
       5.367E-03 2.34E-01 1.02E-01 7.45E+00 0.00E+00 0.00E+00 7.79E+00 7.55E+00
       5.892E-03 2.13E-01 1.06E-01 5.53E+00 0.00E+00 0.00E+00 5.85E+00 5.64E+00
       6.469E-03 1.94E-01 1.10E-01 4.10E+00 0.00E+00 0.00E+00 4.41E+00 4.22E+00
       7.101E-03 1.77E-01 1.15E-01 3.04E+00 0.00E+00 0.00E+00 3.33E+00 3.16E+00
       7.796E-03 1.60E-01 1.18E-01 2.25E+00 0.00E+00 0.00E+00 2.53E+00 2.37E+00
       8.559E-03 1.46E-01 1.22E-01 1.66E+00 0.00E+00 0.00E+00 1.93E+00 1.79E+00
       9.397E-03 1.32E-01 1.26E-01 1.23E+00 0.00E+00 0.00E+00 1.49E+00 1.35E+00
       1.032E-02 1.18E-01 1.30E-01 9.06E-01 0.00E+00 0.00E+00 1.15E+00 1.04E+00
       1.132E-02 1.06E-01 1.34E-01 6.68E-01 0.00E+00 0.00E+00 9.08E-01 8.02E-01
       1.243E-02 9.44E-02 1.37E-01 4.92E-01 0.00E+00 0.00E+00 7.24E-01 6.29E-01
       1.365E-02 8.36E-02 1.41E-01 3.62E-01 0.00E+00 0.00E+00 5.86E-01 5.03E-01
       1.499E-02 7.35E-02 1.44E-01 2.66E-01 0.00E+00 0.00E+00 4.84E-01 4.10E-01
       1.645E-02 6.43E-02 1.47E-01 1.96E-01 0.00E+00 0.00E+00 4.06E-01 3.42E-01
       1.806E-02 5.59E-02 1.49E-01 1.44E-01 0.00E+00 0.00E+00 3.49E-01 2.93E-01
       1.983E-02 4.84E-02 1.51E-01 1.05E-01 0.00E+00 0.00E+00 3.05E-01 2.56E-01
       2.177E-02 4.17E-02 1.53E-01 7.73E-02 0.00E+00 0.00E+00 2.72E-01 2.30E-01
       2.390E-02 3.58E-02 1.54E-01 5.67E-02 0.00E+00 0.00E+00 2.46E-01 2.11E-01
       2.624E-02 3.06E-02 1.55E-01 4.15E-02 0.00E+00 0.00E+00 2.27E-01 1.96E-01
       2.880E-02 2.61E-02 1.55E-01 3.04E-02 0.00E+00 0.00E+00 2.12E-01 1.86E-01
       3.162E-02 2.23E-02 1.55E-01 2.23E-02 0.00E+00 0.00E+00 2.00E-01 1.78E-01
       3.472E-02 1.89E-02 1.55E-01 1.63E-02 0.00E+00 0.00E+00 1.91E-01 1.72E-01
       3.811E-02 1.60E-02 1.55E-01 1.19E-02 0.00E+00 0.00E+00 1.83E-01 1.67E-01
       4.184E-02 1.36E-02 1.54E-01 8.72E-03 0.00E+00 0.00E+00 1.76E-01 1.63E-01
       4.594E-02 1.14E-02 1.53E-01 6.37E-03 0.00E+00 0.00E+00 1.71E-01 1.59E-01
       5.043E-02 9.64E-03 1.52E-01 4.66E-03 0.00E+00 0.00E+00 1.66E-01 1.56E-01
       5.537E-02 8.11E-03 1.50E-01 3.40E-03 0.00E+00 0.00E+00 1.62E-01 1.54E-01
       6.078E-02 6.81E-03 1.49E-01 2.49E-03 0.00E+00 0.00E+00 1.58E-01 1.51E-01
       6.673E-02 5.70E-03 1.47E-01 1.82E-03 0.00E+00 0.00E+00 1.54E-01 1.48E-01
       7.326E-02 4.77E-03 1.44E-01 1.33E-03 0.00E+00 0.00E+00 1.51E-01 1.46E-01
       8.043E-02 3.99E-03 1.42E-01 9.71E-04 0.00E+00 0.00E+00 1.47E-01 1.43E-01
       8.830E-02 3.33E-03 1.40E-01 7.11E-04 0.00E+00 0.00E+00 1.44E-01 1.40E-01
       9.694E-02 2.78E-03 1.37E-01 5.21E-04 0.00E+00 0.00E+00 1.40E-01 1.37E-01
       1.064E-01 2.32E-03 1.34E-01 3.82E-04 0.00E+00 0.00E+00 1.37E-01 1.35E-01
       1.168E-01 1.93E-03 1.31E-01 2.80E-04 0.00E+00 0.00E+00 1.33E-01 1.32E-01
