Constituents (Atomic Number : Fraction by Weight)

 Z=6	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 1.08E+00 1.26E-02 2.21E+03 0.00E+00 0.00E+00 2.21E+03 2.21E+03
       1.098E-03 1.05E+00 1.48E-02 1.70E+03 0.00E+00 0.00E+00 1.70E+03 1.70E+03
       1.205E-03 1.03E+00 1.74E-02 1.31E+03 0.00E+00 0.00E+00 1.31E+03 1.31E+03
       1.323E-03 1.00E+00 2.04E-02 1.00E+03 0.00E+00 0.00E+00 1.00E+03 1.00E+03
       1.453E-03 9.70E-01 2.38E-02 7.67E+02 0.00E+00 0.00E+00 7.68E+02 7.67E+02
       1.595E-03 9.35E-01 2.76E-02 5.86E+02 0.00E+00 0.00E+00 5.87E+02 5.86E+02
       1.751E-03 8.95E-01 3.18E-02 4.46E+02 0.00E+00 0.00E+00 4.47E+02 4.46E+02
       1.922E-03 8.51E-01 3.65E-02 3.39E+02 0.00E+00 0.00E+00 3.40E+02 3.39E+02
       2.110E-03 8.05E-01 4.16E-02 2.57E+02 0.00E+00 0.00E+00 2.58E+02 2.57E+02
       2.317E-03 7.55E-01 4.71E-02 1.95E+02 0.00E+00 0.00E+00 1.96E+02 1.95E+02
       2.543E-03 7.04E-01 5.29E-02 1.47E+02 0.00E+00 0.00E+00 1.48E+02 1.48E+02
       2.792E-03 6.53E-01 5.91E-02 1.11E+02 0.00E+00 0.00E+00 1.12E+02 1.11E+02
       3.065E-03 6.01E-01 6.56E-02 8.40E+01 0.00E+00 0.00E+00 8.46E+01 8.40E+01
       3.365E-03 5.50E-01 7.22E-02 6.32E+01 0.00E+00 0.00E+00 6.38E+01 6.33E+01
       3.695E-03 5.00E-01 7.89E-02 4.75E+01 0.00E+00 0.00E+00 4.81E+01 4.76E+01
       4.056E-03 4.53E-01 8.55E-02 3.57E+01 0.00E+00 0.00E+00 3.62E+01 3.58E+01
       4.453E-03 4.09E-01 9.19E-02 2.67E+01 0.00E+00 0.00E+00 2.72E+01 2.68E+01
       4.889E-03 3.69E-01 9.80E-02 2.00E+01 0.00E+00 0.00E+00 2.05E+01 2.01E+01
       5.367E-03 3.32E-01 1.04E-01 1.50E+01 0.00E+00 0.00E+00 1.54E+01 1.51E+01
       5.892E-03 2.98E-01 1.09E-01 1.12E+01 0.00E+00 0.00E+00 1.16E+01 1.13E+01
       6.469E-03 2.68E-01 1.15E-01 8.32E+00 0.00E+00 0.00E+00 8.70E+00 8.43E+00
       7.101E-03 2.40E-01 1.19E-01 6.19E+00 0.00E+00 0.00E+00 6.55E+00 6.31E+00
       7.796E-03 2.16E-01 1.24E-01 4.60E+00 0.00E+00 0.00E+00 4.94E+00 4.73E+00
       8.559E-03 1.94E-01 1.28E-01 3.42E+00 0.00E+00 0.00E+00 3.74E+00 3.55E+00
       9.397E-03 1.74E-01 1.33E-01 2.54E+00 0.00E+00 0.00E+00 2.84E+00 2.67E+00
