Constituents (Atomic Number : Fraction by Weight)

 Z=17	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 3.03E+00 8.56E-03 2.83E+03 0.00E+00 0.00E+00 2.83E+03 2.83E+03
       1.098E-03 2.99E+00 1.01E-02 2.21E+03 0.00E+00 0.00E+00 2.22E+03 2.21E+03
       1.205E-03 2.94E+00 1.18E-02 1.73E+03 0.00E+00 0.00E+00 1.73E+03 1.73E+03
       1.323E-03 2.88E+00 1.38E-02 1.35E+03 0.00E+00 0.00E+00 1.36E+03 1.35E+03
       1.453E-03 2.82E+00 1.61E-02 1.06E+03 0.00E+00 0.00E+00 1.06E+03 1.06E+03
       1.595E-03 2.75E+00 1.86E-02 8.26E+02 0.00E+00 0.00E+00 8.29E+02 8.26E+02
       1.751E-03 2.67E+00 2.14E-02 6.43E+02 0.00E+00 0.00E+00 6.46E+02 6.43E+02
       1.922E-03 2.57E+00 2.45E-02 5.00E+02 0.00E+00 0.00E+00 5.03E+02 5.00E+02
       2.110E-03 2.47E+00 2.78E-02 3.88E+02 0.00E+00 0.00E+00 3.91E+02 3.88E+02
       2.317E-03 2.36E+00 3.14E-02 3.01E+02 0.00E+00 0.00E+00 3.03E+02 3.01E+02
       2.543E-03 2.25E+00 3.52E-02 2.33E+02 0.00E+00 0.00E+00 2.35E+02 2.33E+02
       2.792E-03 2.13E+00 3.93E-02 1.81E+02 0.00E+00 0.00E+00 1.83E+02 1.81E+02
       3.065E-03 2.01E+00 4.35E-02 1.41E+03 0.00E+00 0.00E+00 1.41E+03 1.41E+03
       3.365E-03 1.89E+00 4.78E-02 1.13E+03 0.00E+00 0.00E+00 1.13E+03 1.13E+03
       3.695E-03 1.76E+00 5.23E-02 8.77E+02 0.00E+00 0.00E+00 8.79E+02 8.77E+02
       4.056E-03 1.64E+00 5.69E-02 6.76E+02 0.00E+00 0.00E+00 6.77E+02 6.76E+02
       4.453E-03 1.53E+00 6.15E-02 5.27E+02 0.00E+00 0.00E+00 5.28E+02 5.27E+02
       4.889E-03 1.42E+00 6.60E-02 4.12E+02 0.00E+00 0.00E+00 4.14E+02 4.13E+02
       5.367E-03 1.31E+00 7.05E-02 3.22E+02 0.00E+00 0.00E+00 3.23E+02 3.22E+02
       5.892E-03 1.21E+00 7.50E-02 2.49E+02 0.00E+00 0.00E+00 2.51E+02 2.49E+02
       6.469E-03 1.12E+00 7.94E-02 1.93E+02 0.00E+00 0.00E+00 1.94E+02 1.93E+02
       7.101E-03 1.03E+00 8.37E-02 1.49E+02 0.00E+00 0.00E+00 1.50E+02 1.49E+02
       7.796E-03 9.50E-01 8.81E-02 1.15E+02 0.00E+00 0.00E+00 1.16E+02 1.15E+02
       8.559E-03 8.70E-01 9.26E-02 8.80E+01 0.00E+00 0.00E+00 8.89E+01 8.81E+01
       9.397E-03 7.92E-01 9.70E-02 6.74E+01 0.00E+00 0.00E+00 6.83E+01 6.75E+01
       1.032E-02 7.17E-01 1.01E-01 5.16E+01 0.00E+00 0.00E+00 5.24E+01 5.17E+01
       1.132E-02 6.44E-01 1.06E-01 3.94E+01 0.00E+00 0.00E+00 4.01E+01 3.95E+01
       1.243E-02 5.75E-01 1.10E-01 3.00E+01 0.00E+00 0.00E+00 3.07E+01 3.01E+01
       1.365E-02 5.10E-01 1.15E-01 2.28E+01 0.00E+00 0.00E+00 2.34E+01 2.29E+01
       1.499E-02 4.49E-01 1.19E-01 1.73E+01 0.00E+00 0.00E+00 1.79E+01 1.74E+01
       1.645E-02 3.94E-01 1.23E-01 1.31E+01 0.00E+00 0.00E+00 1.36E+01 1.33E+01
       1.806E-02 3.44E-01 1.27E-01 9.93E+00 0.00E+00 0.00E+00 1.04E+01 1.01E+01
