Constituents (Atomic Number : Fraction by Weight)

 Z=9	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 1.62E+00 6.43E-03 5.65E+03 0.00E+00 0.00E+00 5.65E+03 5.65E+03
       1.098E-03 1.60E+00 7.65E-03 4.45E+03 0.00E+00 0.00E+00 4.45E+03 4.45E+03
       1.205E-03 1.58E+00 9.10E-03 3.50E+03 0.00E+00 0.00E+00 3.50E+03 3.50E+03
       1.323E-03 1.56E+00 1.08E-02 2.75E+03 0.00E+00 0.00E+00 2.75E+03 2.75E+03
       1.453E-03 1.53E+00 1.28E-02 2.15E+03 0.00E+00 0.00E+00 2.15E+03 2.15E+03
       1.595E-03 1.50E+00 1.51E-02 1.68E+03 0.00E+00 0.00E+00 1.68E+03 1.68E+03
       1.751E-03 1.46E+00 1.77E-02 1.30E+03 0.00E+00 0.00E+00 1.30E+03 1.30E+03
       1.922E-03 1.42E+00 2.07E-02 1.01E+03 0.00E+00 0.00E+00 1.01E+03 1.01E+03
       2.110E-03 1.38E+00 2.42E-02 7.78E+02 0.00E+00 0.00E+00 7.80E+02 7.78E+02
       2.317E-03 1.32E+00 2.80E-02 5.99E+02 0.00E+00 0.00E+00 6.01E+02 5.99E+02
       2.543E-03 1.26E+00 3.23E-02 4.61E+02 0.00E+00 0.00E+00 4.62E+02 4.61E+02
       2.792E-03 1.20E+00 3.71E-02 3.53E+02 0.00E+00 0.00E+00 3.54E+02 3.53E+02
       3.065E-03 1.13E+00 4.22E-02 2.70E+02 0.00E+00 0.00E+00 2.71E+02 2.70E+02
       3.365E-03 1.06E+00 4.78E-02 2.06E+02 0.00E+00 0.00E+00 2.08E+02 2.06E+02
       3.695E-03 9.85E-01 5.37E-02 1.57E+02 0.00E+00 0.00E+00 1.58E+02 1.57E+02
       4.056E-03 9.08E-01 5.99E-02 1.20E+02 0.00E+00 0.00E+00 1.21E+02 1.20E+02
       4.453E-03 8.31E-01 6.64E-02 9.08E+01 0.00E+00 0.00E+00 9.17E+01 9.08E+01
       4.889E-03 7.55E-01 7.30E-02 6.88E+01 0.00E+00 0.00E+00 6.96E+01 6.89E+01
