Constituents (Atomic Number : Fraction by Weight)

 Z=1	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 3.47E-01 5.03E-02 6.82E+00 0.00E+00 0.00E+00 7.21E+00 6.87E+00
       1.098E-03 3.37E-01 5.91E-02 4.99E+00 0.00E+00 0.00E+00 5.38E+00 5.05E+00
       1.205E-03 3.26E-01 6.92E-02 3.65E+00 0.00E+00 0.00E+00 4.04E+00 3.72E+00
       1.323E-03 3.15E-01 8.08E-02 2.67E+00 0.00E+00 0.00E+00 3.06E+00 2.75E+00
       1.453E-03 3.03E-01 9.38E-02 1.95E+00 0.00E+00 0.00E+00 2.35E+00 2.04E+00
       1.595E-03 2.88E-01 1.08E-01 1.43E+00 0.00E+00 0.00E+00 1.82E+00 1.53E+00
       1.751E-03 2.72E-01 1.24E-01 1.04E+00 0.00E+00 0.00E+00 1.44E+00 1.16E+00
       1.922E-03 2.55E-01 1.41E-01 7.59E-01 0.00E+00 0.00E+00 1.15E+00 9.00E-01
       2.110E-03 2.37E-01 1.58E-01 5.54E-01 0.00E+00 0.00E+00 9.49E-01 7.12E-01
       2.317E-03 2.18E-01 1.77E-01 4.03E-01 0.00E+00 0.00E+00 7.98E-01 5.80E-01
       2.543E-03 1.99E-01 1.95E-01 2.94E-01 0.00E+00 0.00E+00 6.88E-01 4.89E-01
       2.792E-03 1.80E-01 2.14E-01 2.14E-01 0.00E+00 0.00E+00 6.08E-01 4.28E-01
       3.065E-03 1.61E-01 2.33E-01 1.56E-01 0.00E+00 0.00E+00 5.49E-01 3.88E-01
       3.365E-03 1.43E-01 2.50E-01 1.13E-01 0.00E+00 0.00E+00 5.06E-01 3.63E-01
       3.695E-03 1.26E-01 2.66E-01 8.25E-02 0.00E+00 0.00E+00 4.75E-01 3.49E-01
       4.056E-03 1.10E-01 2.81E-01 6.00E-02 0.00E+00 0.00E+00 4.52E-01 3.41E-01
       4.453E-03 9.58E-02 2.95E-01 4.36E-02 0.00E+00 0.00E+00 4.35E-01 3.39E-01
       4.889E-03 8.30E-02 3.07E-01 3.17E-02 0.00E+00 0.00E+00 4.22E-01 3.39E-01
       5.367E-03 7.16E-02 3.18E-01 2.30E-02 0.00E+00 0.00E+00 4.12E-01 3.41E-01
       5.892E-03 6.15E-02 3.27E-01 1.67E-02 0.00E+00 0.00E+00 4.05E-01 3.44E-01
       6.469E-03 5.27E-02 3.35E-01 1.21E-02 0.00E+00 0.00E+00 4.00E-01 3.47E-01
       7.101E-03 4.50E-02 3.42E-01 8.82E-03 0.00E+00 0.00E+00 3.96E-01 3.51E-01
       7.796E-03 3.83E-02 3.48E-01 6.41E-03 0.00E+00 0.00E+00 3.92E-01 3.54E-01
       8.559E-03 3.25E-02 3.52E-01 4.65E-03 0.00E+00 0.00E+00 3.89E-01 3.57E-01
       9.397E-03 2.75E-02 3.56E-01 3.37E-03 0.00E+00 0.00E+00 3.87E-01 3.59E-01
       1.032E-02 2.33E-02 3.59E-01 2.45E-03 0.00E+00 0.00E+00 3.85E-01 3.61E-01
       1.132E-02 1.96E-02 3.61E-01 1.77E-03 0.00E+00 0.00E+00 3.83E-01 3.63E-01
       1.243E-02 1.65E-02 3.63E-01 1.29E-03 0.00E+00 0.00E+00 3.81E-01 3.64E-01
       1.365E-02 1.39E-02 3.64E-01 9.33E-04 0.00E+00 0.00E+00 3.79E-01 3.65E-01
       1.499E-02 1.16E-02 3.64E-01 6.76E-04 0.00E+00 0.00E+00 3.76E-01 3.65E-01
       1.645E-02 9.74E-03 3.64E-01 4.90E-04 0.00E+00 0.00E+00 3.74E-01 3.65E-01
       1.806E-02 8.14E-03 3.64E-01 3.55E-04 0.00E+00 0.00E+00 3.72E-01 3.64E-01
       1.983E-02 6.80E-03 3.63E-01 2.57E-04 0.00E+00 0.00E+00 3.70E-01 3.63E-01
       2.177E-02 5.67E-03 3.61E-01 1.87E-04 0.00E+00 0.00E+00 3.67E-01 3.62E-01
       2.390E-02 4.73E-03 3.60E-01 1.35E-04 0.00E+00 0.00E+00 3.64E-01 3.60E-01
       2.624E-02 3.94E-03 3.58E-01 9.79E-05 0.00E+00 0.00E+00 3.62E-01 3.58E-01
       2.880E-02 3.28E-03 3.55E-01 7.10E-05 0.00E+00 0.00E+00 3.58E-01 3.55E-01
       3.162E-02 2.73E-03 3.52E-01 5.14E-05 0.00E+00 0.00E+00 3.55E-01 3.52E-01
       3.472E-02 2.27E-03 3.49E-01 3.72E-05 0.00E+00 0.00E+00 3.52E-01 3.49E-01
       3.811E-02 1.88E-03 3.46E-01 2.70E-05 0.00E+00 0.00E+00 3.48E-01 3.46E-01
       4.184E-02 1.57E-03 3.42E-01 1.96E-05 0.00E+00 0.00E+00 3.44E-01 3.42E-01
       4.594E-02 1.30E-03 3.38E-01 1.42E-05 0.00E+00 0.00E+00 3.40E-01 3.38E-01
       5.043E-02 1.08E-03 3.34E-01 1.03E-05 0.00E+00 0.00E+00 3.35E-01 3.34E-01
       5.537E-02 8.98E-04 3.29E-01 7.45E-06 0.00E+00 0.00E+00 3.30E-01 3.29E-01
       6.078E-02 7.45E-04 3.25E-01 5.40E-06 0.00E+00 0.00E+00 3.25E-01 3.25E-01
       6.673E-02 6.19E-04 3.19E-01 3.92E-06 0.00E+00 0.00E+00 3.20E-01 3.19E-01
       7.326E-02 5.14E-04 3.14E-01 2.85E-06 0.00E+00 0.00E+00 3.15E-01 3.14E-01
       8.043E-02 4.26E-04 3.08E-01 2.07E-06 0.00E+00 0.00E+00 3.09E-01 3.08E-01
       8.830E-02 3.54E-04 3.02E-01 1.50E-06 0.00E+00 0.00E+00 3.03E-01 3.02E-01
       9.694E-02 2.94E-04 2.96E-01 1.09E-06 0.00E+00 0.00E+00 2.97E-01 2.96E-01
       1.064E-01 2.44E-04 2.90E-01 7.95E-07 0.00E+00 0.00E+00 2.90E-01 2.90E-01
       1.168E-01 2.02E-04 2.83E-01 5.79E-07 0.00E+00 0.00E+00 2.84E-01 2.83E-01
       1.283E-01 1.68E-04 2.77E-01 4.22E-07 0.00E+00 0.00E+00 2.77E-01 2.77E-01
