Constituents (Atomic Number : Fraction by Weight)

 Z=2	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 3.79E-01 1.02E-02 6.04E+01 0.00E+00 0.00E+00 6.08E+01 6.04E+01
       1.098E-03 3.74E-01 1.21E-02 4.47E+01 0.00E+00 0.00E+00 4.51E+01 4.47E+01
       1.205E-03 3.69E-01 1.44E-02 3.31E+01 0.00E+00 0.00E+00 3.35E+01 3.31E+01
       1.323E-03 3.64E-01 1.70E-02 2.45E+01 0.00E+00 0.00E+00 2.49E+01 2.45E+01
       1.453E-03 3.57E-01 2.02E-02 1.82E+01 0.00E+00 0.00E+00 1.85E+01 1.82E+01
       1.595E-03 3.49E-01 2.38E-02 1.35E+01 0.00E+00 0.00E+00 1.38E+01 1.35E+01
       1.751E-03 3.41E-01 2.79E-02 9.99E+00 0.00E+00 0.00E+00 1.04E+01 1.00E+01
       1.922E-03 3.30E-01 3.27E-02 7.40E+00 0.00E+00 0.00E+00 7.76E+00 7.43E+00
       2.110E-03 3.19E-01 3.80E-02 5.46E+00 0.00E+00 0.00E+00 5.81E+00 5.50E+00
       2.317E-03 3.06E-01 4.40E-02 4.01E+00 0.00E+00 0.00E+00 4.36E+00 4.05E+00
       2.543E-03 2.91E-01 5.06E-02 2.93E+00 0.00E+00 0.00E+00 3.28E+00 2.98E+00
       2.792E-03 2.76E-01 5.78E-02 2.14E+00 0.00E+00 0.00E+00 2.48E+00 2.20E+00
       3.065E-03 2.59E-01 6.55E-02 1.56E+00 0.00E+00 0.00E+00 1.89E+00 1.63E+00
       3.365E-03 2.41E-01 7.36E-02 1.14E+00 0.00E+00 0.00E+00 1.45E+00 1.21E+00
       3.695E-03 2.22E-01 8.21E-02 8.31E-01 0.00E+00 0.00E+00 1.14E+00 9.13E-01
       4.056E-03 2.04E-01 9.08E-02 6.08E-01 0.00E+00 0.00E+00 9.03E-01 6.99E-01
       4.453E-03 1.85E-01 9.95E-02 4.47E-01 0.00E+00 0.00E+00 7.31E-01 5.46E-01
       4.889E-03 1.66E-01 1.08E-01 3.28E-01 0.00E+00 0.00E+00 6.03E-01 4.37E-01
       5.367E-03 1.48E-01 1.17E-01 2.41E-01 0.00E+00 0.00E+00 5.05E-01 3.57E-01
       5.892E-03 1.31E-01 1.25E-01 1.76E-01 0.00E+00 0.00E+00 4.32E-01 3.00E-01
       6.469E-03 1.15E-01 1.32E-01 1.28E-01 0.00E+00 0.00E+00 3.75E-01 2.60E-01
       7.101E-03 1.01E-01 1.39E-01 9.29E-02 0.00E+00 0.00E+00 3.33E-01 2.32E-01
       7.796E-03 8.77E-02 1.46E-01 6.75E-02 0.00E+00 0.00E+00 3.01E-01 2.13E-01
       8.559E-03 7.58E-02 1.51E-01 4.92E-02 0.00E+00 0.00E+00 2.76E-01 2.01E-01
       9.397E-03 6.53E-02 1.56E-01 3.60E-02 0.00E+00 0.00E+00 2.58E-01 1.92E-01
       1.032E-02 5.61E-02 1.61E-01 2.63E-02 0.00E+00 0.00E+00 2.43E-01 1.87E-01
       1.132E-02 4.80E-02 1.64E-01 1.92E-02 0.00E+00 0.00E+00 2.32E-01 1.84E-01
       1.243E-02 4.10E-02 1.68E-01 1.39E-02 0.00E+00 0.00E+00 2.23E-01 1.82E-01
       1.365E-02 3.49E-02 1.70E-01 1.01E-02 0.00E+00 0.00E+00 2.15E-01 1.80E-01
       1.499E-02 2.96E-02 1.72E-01 7.36E-03 0.00E+00 0.00E+00 2.09E-01 1.80E-01
       1.645E-02 2.51E-02 1.74E-01 5.35E-03 0.00E+00 0.00E+00 2.04E-01 1.79E-01
       1.806E-02 2.12E-02 1.75E-01 3.89E-03 0.00E+00 0.00E+00 2.00E-01 1.79E-01
       1.983E-02 1.78E-02 1.76E-01 2.83E-03 0.00E+00 0.00E+00 1.96E-01 1.79E-01
       2.177E-02 1.50E-02 1.76E-01 2.06E-03 0.00E+00 0.00E+00 1.93E-01 1.78E-01
       2.390E-02 1.26E-02 1.76E-01 1.50E-03 0.00E+00 0.00E+00 1.90E-01 1.78E-01
       2.624E-02 1.06E-02 1.76E-01 1.09E-03 0.00E+00 0.00E+00 1.88E-01 1.77E-01
       2.880E-02 8.84E-03 1.75E-01 7.90E-04 0.00E+00 0.00E+00 1.85E-01 1.76E-01
       3.162E-02 7.39E-03 1.74E-01 5.74E-04 0.00E+00 0.00E+00 1.82E-01 1.75E-01
       3.472E-02 6.17E-03 1.73E-01 4.17E-04 0.00E+00 0.00E+00 1.80E-01 1.74E-01
       3.811E-02 5.15E-03 1.72E-01 3.03E-04 0.00E+00 0.00E+00 1.78E-01 1.72E-01
       4.184E-02 4.29E-03 1.71E-01 2.20E-04 0.00E+00 0.00E+00 1.75E-01 1.71E-01
       4.594E-02 3.57E-03 1.69E-01 1.60E-04 0.00E+00 0.00E+00 1.73E-01 1.69E-01
       5.043E-02 2.97E-03 1.67E-01 1.16E-04 0.00E+00 0.00E+00 1.70E-01 1.67E-01
       5.537E-02 2.47E-03 1.65E-01 8.43E-05 0.00E+00 0.00E+00 1.67E-01 1.65E-01
       6.078E-02 2.06E-03 1.63E-01 6.13E-05 0.00E+00 0.00E+00 1.65E-01 1.63E-01
       6.673E-02 1.71E-03 1.60E-01 4.46E-05 0.00E+00 0.00E+00 1.62E-01 1.60E-01
       7.326E-02 1.42E-03 1.58E-01 3.24E-05 0.00E+00 0.00E+00 1.59E-01 1.58E-01
       8.043E-02 1.18E-03 1.55E-01 2.36E-05 0.00E+00 0.00E+00 1.56E-01 1.55E-01
       8.830E-02 9.81E-04 1.52E-01 1.72E-05 0.00E+00 0.00E+00 1.53E-01 1.52E-01
       9.694E-02 8.15E-04 1.49E-01 1.25E-05 0.00E+00 0.00E+00 1.50E-01 1.49E-01
       1.064E-01 6.77E-04 1.46E-01 9.12E-06 0.00E+00 0.00E+00 1.46E-01 1.46E-01
       1.168E-01 5.62E-04 1.42E-01 6.66E-06 0.00E+00 0.00E+00 1.43E-01 1.42E-01
       1.283E-01 4.66E-04 1.39E-01 4.86E-06 0.00E+00 0.00E+00 1.40E-01 1.39E-01
       1.408E-01 3.87E-04 1.36E-01 3.56E-06 0.00E+00 0.00E+00 1.36E-01 1.36E-01
       1.546E-01 3.21E-04 1.32E-01 2.61E-06 0.00E+00 0.00E+00 1.32E-01 1.32E-01
       1.697E-01 2.67E-04 1.29E-01 1.91E-06 0.00E+00 0.00E+00 1.29E-01 1.29E-01
       1.863E-01 2.21E-04 1.25E-01 1.41E-06 0.00E+00 0.00E+00 1.25E-01 1.25E-01
       2.046E-01 1.84E-04 1.21E-01 1.04E-06 0.00E+00 0.00E+00 1.22E-01 1.21E-01
       2.246E-01 1.52E-04 1.18E-01 7.68E-07 0.00E+00 0.00E+00 1.18E-01 1.18E-01
       2.465E-01 1.26E-04 1.14E-01 5.70E-07 0.00E+00 0.00E+00 1.14E-01 1.14E-01
       2.707E-01 1.05E-04 1.10E-01 4.24E-07 0.00E+00 0.00E+00 1.10E-01 1.10E-01
       2.971E-01 8.71E-05 1.07E-01 3.17E-07 0.00E+00 0.00E+00 1.07E-01 1.07E-01
       3.262E-01 7.22E-05 1.03E-01 2.39E-07 0.00E+00 0.00E+00 1.03E-01 1.03E-01
       3.581E-01 5.99E-05 9.95E-02 1.80E-07 0.00E+00 0.00E+00 9.96E-02 9.95E-02
       3.932E-01 4.97E-05 9.59E-02 1.37E-07 0.00E+00 0.00E+00 9.60E-02 9.59E-02
       4.317E-01 4.13E-05 9.24E-02 1.05E-07 0.00E+00 0.00E+00 9.25E-02 9.24E-02
       4.739E-01 3.42E-05 8.90E-02 8.06E-08 0.00E+00 0.00E+00 8.90E-02 8.90E-02
       5.203E-01 2.84E-05 8.56E-02 6.28E-08 0.00E+00 0.00E+00 8.56E-02 8.56E-02
       5.712E-01 2.36E-05 8.23E-02 4.92E-08 0.00E+00 0.00E+00 8.23E-02 8.23E-02
       6.270E-01 1.96E-05 7.90E-02 3.85E-08 0.00E+00 0.00E+00 7.90E-02 7.90E-02
       6.884E-01 1.62E-05 7.58E-02 3.02E-08 0.00E+00 0.00E+00 7.58E-02 7.58E-02
       7.558E-01 1.35E-05 7.26E-02 2.43E-08 0.00E+00 0.00E+00 7.26E-02 7.26E-02
       8.297E-01 1.12E-05 6.96E-02 2.06E-08 0.00E+00 0.00E+00 6.96E-02 6.96E-02
       9.109E-01 9.27E-06 6.66E-02 1.76E-08 0.00E+00 0.00E+00 6.66E-02 6.66E-02
       1.000E+00 7.69E-06 6.36E-02 1.36E-08 0.00E+00 0.00E+00 6.36E-02 6.36E-02

