   Constituents (Atomic Number : Fraction by Weight)

 Z=36	: 1.000000
Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
1.000E-03 5.90E+00 4.76E-03 2.85E+03 0.00E+00 0.00E+00 2.85E+03 2.85E+03       
1.500E-03 5.58E+00 9.37E-03 1.09E+03 0.00E+00 0.00E+00 1.09E+03 1.09E+03
1.675E-03 5.45E+00 1.11E-02 8.31E+02 0.00E+00 0.00E+00 8.36E+02 8.31E+02
1.675E-03 5.45E+00 1.11E-02 3.91E+03 0.00E+00 0.00E+00 3.92E+03 3.91E+03
1.701E-03 5.43E+00 1.13E-02 3.51E+03 0.00E+00 0.00E+00 3.52E+03 3.51E+03
1.727E-03 5.41E+00 1.16E-02 3.16E+03 0.00E+00 0.00E+00 3.17E+03 3.16E+03      
1.727E-03 5.41E+00 1.16E-02 4.56E+03 0.00E+00 0.00E+00 4.56E+03 4.56E+03       
1.822E-03 5.35E+00 1.26E-02 3.98E+03 0.00E+00 0.00E+00 3.99E+03 3.98E+03
1.921E-03 5.28E+00 1.35E-02 3.48E+03 0.00E+00 0.00E+00 3.48E+03 3.48E+03     
1.921E-03 5.28E+00 1.35E-02 3.94E+03 0.00E+00 0.00E+00 3.95E+03 3.94E+03      
2.000E-03 5.22E+00 1.43E-02 3.59E+03 0.00E+00 0.00E+00 3.60E+03 3.59E+03       
3.000E-03 4.49E+00 2.40E-02 1.30E+03 0.00E+00 0.00E+00 1.31E+03 1.30E+03   
4.000E-03 3.88E+00 3.27E-02 6.15E+02 0.00E+00 0.00E+00 6.19E+02 6.15E+02
5.000E-03 3.39E+00 4.03E-02 3.39E+02 0.00E+00 0.00E+00 3.43E+02 3.39E+02
6.000E-03 2.98E+00 4.69E-02 2.07E+02 0.00E+00 0.00E+00 2.10E+02 2.07E+02
8.000E-03 2.35E+00 5.81E-02 9.41E+01 0.00E+00 0.00E+00 9.65E+01 9.41E+01
1.000E-02 1.88E+00 6.73E-02 5.06E+01 0.00E+00 0.00E+00 5.26E+01 5.07E+01       
1.433E-02 1.22E+00 8.29E-02 1.84E+01 0.00E+00 0.00E+00 1.97E+01 1.85E+01       
1.433E-02 1.22E+00 8.29E-02 1.30E+02 0.00E+00 0.00E+00 1.31E+02 1.30E+02
1.500E-02 1.15E+00 8.49E-02 1.16E+02 0.00E+00 0.00E+00 1.17E+02 1.16E+02
2.000E-02 7.81E-01 9.67E-02 5.46E+01 0.00E+00 0.00E+00 5.55E+01 5.47E+01
3.000E-02 4.42E-01 1.10E-01 1.80E+01 0.00E+00 0.00E+00 1.85E+01 1.81E+01
4.000E-02 2.84E-01 1.17E-01 7.99E+00 0.00E+00 0.00E+00 8.39E+00 8.11E+00
5.000E-02 1.96E-01 1.20E-01 4.21E+00 0.00E+00 0.00E+00 4.52E+00 4.33E+00
6.000E-02 1.44E-01 1.21E-01 2.47E+00 0.00E+00 0.00E+00 2.74E+00 2.59E+00
8.000E-02 8.80E-02 1.20E-01 1.06E+00 0.00E+00 0.00E+00 1.27E+00 1.18E+00
1.000E-01 5.95E-02 1.17E-01 5.46E-01 0.00E+00 0.00E+00 7.22E-01 6.63E-01
1.500E-01 2.86E-02 1.09E-01 1.62E-01 0.00E+00 0.00E+00 3.00E-01 2.71E-01
2.000E-01 1.67E-02 1.02E-01 6.89E-02 0.00E+00 0.00E+00 1.87E-01 1.70E-01
3.000E-01 7.67E-03 8.98E-02 2.12E-02 0.00E+00 0.00E+00 1.19E-01 1.11E-01
4.000E-01 4.39E-03 8.09E-02 9.49E-03 0.00E+00 0.00E+00 9.48E-02 9.04E-02
5.000E-01 2.84E-03 7.42E-02 5.27E-03 0.00E+00 0.00E+00 8.23E-02 7.94E-02
6.000E-01 1.98E-03 6.88E-02 3.34E-03 0.00E+00 0.00E+00 7.41E-02 7.21E-02
8.000E-01 1.12E-03 6.06E-02 1.71E-03 0.00E+00 0.00E+00 6.34E-02 6.23E-02
1.000E+00 7.20E-04 5.45E-02 1.06E-03 0.00E+00 0.00E+00 5.63E-02 5.56E-02
1.022E+00 6.90E-04 5.40E-02 1.01E-03 0.00E+00 0.00E+00 5.57E-02 5.50E-02
1.250E+00 4.62E-04 4.88E-02 6.83E-04 1.03E-04 0.00E+00 5.00E-02 4.96E-02
1.500E+00 3.21E-04 4.44E-02 4.91E-04 5.04E-04 0.00E+00 4.57E-02 4.54E-02
2.000E+00 1.81E-04 3.79E-02 3.01E-04 1.83E-03 0.00E+00 4.02E-02 4.00E-02
2.044E+00 1.73E-04 3.74E-02 2.91E-04 1.97E-03 0.00E+00 3.98E-02 3.97E-02
3.000E+00 8.04E-05 2.98E-02 1.62E-04 4.94E-03 1.04E-05 3.50E-02 3.49E-02
4.000E+00 4.52E-05 2.49E-02 1.08E-04 7.78E-03 4.26E-05 3.29E-02 3.28E-02
5.000E+00 2.90E-05 2.15E-02 8.06E-05 1.03E-02 8.48E-05 3.20E-02 3.19E-02
6.000E+00 2.01E-05 1.90E-02 6.39E-05 1.25E-02 1.30E-04 3.17E-02 3.17E-02
7.000E+00 1.48E-05 1.71E-02 5.28E-05 1.44E-02 1.75E-04 3.17E-02 3.17E-02
8.000E+00 1.13E-05 1.55E-02 4.50E-05 1.62E-02 2.19E-04 3.20E-02 3.20E-02
9.000E+00 8.94E-06 1.43E-02 3.91E-05 1.78E-02 2.61E-04 3.24E-02 3.24E-02
1.000E+01 7.24E-06 1.32E-02 3.46E-05 1.92E-02 3.01E-04 3.28E-02 3.28E-02
1.100E+01 5.98E-06 1.23E-02 3.10E-05 2.06E-02 3.39E-04 3.33E-02 3.33E-02
1.200E+01 5.03E-06 1.16E-02 2.81E-05 2.18E-02 3.74E-04 3.38E-02 3.38E-02
1.300E+01 4.29E-06 1.09E-02 2.56E-05 2.29E-02 4.08E-04 3.42E-02 3.42E-02
1.400E+01 3.70E-06 1.03E-02 2.36E-05 2.39E-02 4.40E-04 3.47E-02 3.47E-02
1.500E+01 3.22E-06 9.79E-03 2.19E-05 2.49E-02 4.70E-04 3.52E-02 3.52E-02
1.600E+01 2.83E-06 9.33E-03 2.04E-05 2.58E-02 4.99E-04 3.56E-02 3.56E-02
1.800E+01 2.23E-06 8.52E-03 1.79E-05 2.75E-02 5.52E-04 3.65E-02 3.65E-02
2.000E+01 1.81E-06 7.86E-03 1.59E-05 2.89E-02 6.01E-04 3.74E-02 3.74E-02
