Constituents (Atomic Number : Fraction by Weight)

 Z=7	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 1.29E+00 1.10E-02 3.31E+03 0.00E+00 0.00E+00 3.31E+03 3.31E+03
       1.098E-03 1.27E+00 1.30E-02 2.56E+03 0.00E+00 0.00E+00 2.57E+03 2.56E+03
       1.205E-03 1.24E+00 1.53E-02 1.98E+03 0.00E+00 0.00E+00 1.99E+03 1.98E+03
       1.323E-03 1.22E+00 1.81E-02 1.53E+03 0.00E+00 0.00E+00 1.54E+03 1.53E+03
       1.453E-03 1.19E+00 2.12E-02 1.18E+03 0.00E+00 0.00E+00 1.18E+03 1.18E+03
       1.595E-03 1.15E+00 2.47E-02 9.10E+02 0.00E+00 0.00E+00 9.11E+02 9.10E+02
       1.751E-03 1.11E+00 2.87E-02 6.98E+02 0.00E+00 0.00E+00 6.99E+02 6.98E+02
       1.922E-03 1.07E+00 3.31E-02 5.34E+02 0.00E+00 0.00E+00 5.35E+02 5.34E+02
       2.110E-03 1.02E+00 3.79E-02 4.07E+02 0.00E+00 0.00E+00 4.09E+02 4.07E+02
       2.317E-03 9.63E-01 4.32E-02 3.10E+02 0.00E+00 0.00E+00 3.11E+02 3.10E+02
       2.543E-03 9.06E-01 4.89E-02 2.36E+02 0.00E+00 0.00E+00 2.37E+02 2.36E+02
       2.792E-03 8.47E-01 5.50E-02 1.79E+02 0.00E+00 0.00E+00 1.80E+02 1.79E+02
       3.065E-03 7.86E-01 6.13E-02 1.36E+02 0.00E+00 0.00E+00 1.37E+02 1.36E+02
       3.365E-03 7.24E-01 6.79E-02 1.03E+02 0.00E+00 0.00E+00 1.03E+02 1.03E+02
       3.695E-03 6.62E-01 7.46E-02 7.75E+01 0.00E+00 0.00E+00 7.83E+01 7.76E+01
       4.056E-03 6.02E-01 8.12E-02 5.84E+01 0.00E+00 0.00E+00 5.91E+01 5.85E+01
       4.453E-03 5.44E-01 8.78E-02 4.40E+01 0.00E+00 0.00E+00 4.46E+01 4.41E+01
       4.889E-03 4.90E-01 9.42E-02 3.31E+01 0.00E+00 0.00E+00 3.37E+01 3.32E+01
       5.367E-03 4.39E-01 1.00E-01 2.48E+01 0.00E+00 0.00E+00 2.54E+01 2.49E+01
       5.892E-03 3.92E-01 1.06E-01 1.86E+01 0.00E+00 0.00E+00 1.91E+01 1.87E+01
       6.469E-03 3.50E-01 1.12E-01 1.39E+01 0.00E+00 0.00E+00 1.44E+01 1.40E+01
       7.101E-03 3.12E-01 1.17E-01 1.04E+01 0.00E+00 0.00E+00 1.08E+01 1.05E+01
       7.796E-03 2.77E-01 1.22E-01 7.77E+00 0.00E+00 0.00E+00 8.17E+00 7.89E+00
       8.559E-03 2.47E-01 1.26E-01 5.79E+00 0.00E+00 0.00E+00 6.17E+00 5.92E+00
       9.397E-03 2.20E-01 1.30E-01 4.32E+00 0.00E+00 0.00E+00 4.67E+00 4.45E+00
       1.032E-02 1.95E-01 1.34E-01 3.21E+00 0.00E+00 0.00E+00 3.54E+00 3.34E+00
       1.132E-02 1.74E-01 1.38E-01 2.38E+00 0.00E+00 0.00E+00 2.70E+00 2.52E+00
       1.243E-02 1.54E-01 1.42E-01 1.77E+00 0.00E+00 0.00E+00 2.06E+00 1.91E+00
       1.365E-02 1.37E-01 1.45E-01 1.31E+00 0.00E+00 0.00E+00 1.59E+00 1.46E+00
       1.499E-02 1.21E-01 1.48E-01 9.70E-01 0.00E+00 0.00E+00 1.24E+00 1.12E+00
       1.645E-02 1.06E-01 1.51E-01 7.18E-01 0.00E+00 0.00E+00 9.75E-01 8.69E-01
       1.806E-02 9.33E-02 1.54E-01 5.30E-01 0.00E+00 0.00E+00 7.78E-01 6.84E-01
       1.983E-02 8.14E-02 1.57E-01 3.92E-01 0.00E+00 0.00E+00 6.29E-01 5.48E-01
       2.177E-02 7.08E-02 1.59E-01 2.89E-01 0.00E+00 0.00E+00 5.18E-01 4.48E-01
       2.390E-02 6.12E-02 1.60E-01 2.13E-01 0.00E+00 0.00E+00 4.35E-01 3.73E-01
       2.624E-02 5.27E-02 1.62E-01 1.57E-01 0.00E+00 0.00E+00 3.71E-01 3.19E-01
       2.880E-02 4.53E-02 1.63E-01 1.15E-01 0.00E+00 0.00E+00 3.24E-01 2.78E-01
       3.162E-02 3.87E-02 1.64E-01 8.49E-02 0.00E+00 0.00E+00 2.87E-01 2.49E-01
       3.472E-02 3.30E-02 1.64E-01 6.24E-02 0.00E+00 0.00E+00 2.59E-01 2.26E-01
       3.811E-02 2.81E-02 1.64E-01 4.58E-02 0.00E+00 0.00E+00 2.38E-01 2.10E-01
       4.184E-02 2.39E-02 1.64E-01 3.37E-02 0.00E+00 0.00E+00 2.21E-01 1.97E-01
       4.594E-02 2.02E-02 1.63E-01 2.47E-02 0.00E+00 0.00E+00 2.08E-01 1.88E-01
       5.043E-02 1.71E-02 1.62E-01 1.81E-02 0.00E+00 0.00E+00 1.97E-01 1.80E-01
       5.537E-02 1.44E-02 1.60E-01 1.33E-02 0.00E+00 0.00E+00 1.88E-01 1.74E-01
       6.078E-02 1.22E-02 1.59E-01 9.76E-03 0.00E+00 0.00E+00 1.81E-01 1.69E-01
       6.673E-02 1.02E-02 1.57E-01 7.16E-03 0.00E+00 0.00E+00 1.74E-01 1.64E-01
       7.326E-02 8.61E-03 1.55E-01 5.25E-03 0.00E+00 0.00E+00 1.69E-01 1.60E-01
       8.043E-02 7.22E-03 1.53E-01 3.85E-03 0.00E+00 0.00E+00 1.64E-01 1.56E-01
       8.830E-02 6.05E-03 1.50E-01 2.82E-03 0.00E+00 0.00E+00 1.59E-01 1.53E-01
       9.694E-02 5.06E-03 1.47E-01 2.07E-03 0.00E+00 0.00E+00 1.54E-01 1.49E-01
       1.064E-01 4.23E-03 1.44E-01 1.52E-03 0.00E+00 0.00E+00 1.50E-01 1.46E-01
       1.168E-01 3.53E-03 1.41E-01 1.12E-03 0.00E+00 0.00E+00 1.46E-01 1.42E-01
