Constituents (Atomic Number : Fraction by Weight)

 Z=10	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 1.90E+00 5.48E-03 7.41E+03 0.00E+00 0.00E+00 7.41E+03 7.41E+03
       1.098E-03 1.88E+00 6.53E-03 5.87E+03 0.00E+00 0.00E+00 5.87E+03 5.87E+03
       1.205E-03 1.86E+00 7.78E-03 4.65E+03 0.00E+00 0.00E+00 4.65E+03 4.65E+03
       1.323E-03 1.84E+00 9.26E-03 3.67E+03 0.00E+00 0.00E+00 3.68E+03 3.67E+03
       1.453E-03 1.81E+00 1.10E-02 2.89E+03 0.00E+00 0.00E+00 2.90E+03 2.89E+03
       1.595E-03 1.78E+00 1.30E-02 2.27E+03 0.00E+00 0.00E+00 2.27E+03 2.27E+03
       1.751E-03 1.75E+00 1.53E-02 1.77E+03 0.00E+00 0.00E+00 1.78E+03 1.77E+03
       1.922E-03 1.70E+00 1.80E-02 1.38E+03 0.00E+00 0.00E+00 1.38E+03 1.38E+03
       2.110E-03 1.65E+00 2.11E-02 1.07E+03 0.00E+00 0.00E+00 1.07E+03 1.07E+03
       2.317E-03 1.60E+00 2.45E-02 8.31E+02 0.00E+00 0.00E+00 8.32E+02 8.31E+02
       2.543E-03 1.54E+00 2.84E-02 6.41E+02 0.00E+00 0.00E+00 6.43E+02 6.42E+02
       2.792E-03 1.47E+00 3.28E-02 4.94E+02 0.00E+00 0.00E+00 4.96E+02 4.94E+02
       3.065E-03 1.40E+00 3.76E-02 3.80E+02 0.00E+00 0.00E+00 3.81E+02 3.80E+02
       3.365E-03 1.32E+00 4.28E-02 2.91E+02 0.00E+00 0.00E+00 2.93E+02 2.91E+02
       3.695E-03 1.23E+00 4.85E-02 2.23E+02 0.00E+00 0.00E+00 2.24E+02 2.23E+02
       4.056E-03 1.15E+00 5.45E-02 1.70E+02 0.00E+00 0.00E+00 1.71E+02 1.70E+02
       4.453E-03 1.06E+00 6.09E-02 1.30E+02 0.00E+00 0.00E+00 1.31E+02 1.30E+02
       4.889E-03 9.66E-01 6.76E-02 9.87E+01 0.00E+00 0.00E+00 9.97E+01 9.88E+01
       5.367E-03 8.77E-01 7.45E-02 7.50E+01 0.00E+00 0.00E+00 7.59E+01 7.50E+01
       5.892E-03 7.90E-01 8.14E-02 5.68E+01 0.00E+00 0.00E+00 5.77E+01 5.69E+01
       6.469E-03 7.08E-01 8.84E-02 4.30E+01 0.00E+00 0.00E+00 4.38E+01 4.31E+01
       7.101E-03 6.31E-01 9.52E-02 3.25E+01 0.00E+00 0.00E+00 3.32E+01 3.26E+01
       7.796E-03 5.59E-01 1.02E-01 2.45E+01 0.00E+00 0.00E+00 2.51E+01 2.46E+01
       8.559E-03 4.94E-01 1.08E-01 1.84E+01 0.00E+00 0.00E+00 1.90E+01 1.85E+01
       9.397E-03 4.34E-01 1.14E-01 1.39E+01 0.00E+00 0.00E+00 1.44E+01 1.40E+01
       1.032E-02 3.81E-01 1.20E-01 1.04E+01 0.00E+00 0.00E+00 1.09E+01 1.05E+01
