Constituents (Atomic Number : Fraction by Weight)

 Z=8	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 1.50E+00 8.51E-03 4.59E+03 0.00E+00 0.00E+00 4.59E+03 4.59E+03
       1.098E-03 1.48E+00 1.01E-02 3.58E+03 0.00E+00 0.00E+00 3.58E+03 3.58E+03
       1.205E-03 1.46E+00 1.20E-02 2.79E+03 0.00E+00 0.00E+00 2.79E+03 2.79E+03
       1.323E-03 1.43E+00 1.42E-02 2.17E+03 0.00E+00 0.00E+00 2.18E+03 2.17E+03
       1.453E-03 1.40E+00 1.67E-02 1.69E+03 0.00E+00 0.00E+00 1.69E+03 1.69E+03
       1.595E-03 1.37E+00 1.96E-02 1.31E+03 0.00E+00 0.00E+00 1.31E+03 1.31E+03
       1.751E-03 1.33E+00 2.30E-02 1.01E+03 0.00E+00 0.00E+00 1.01E+03 1.01E+03
       1.922E-03 1.28E+00 2.67E-02 7.76E+02 0.00E+00 0.00E+00 7.77E+02 7.76E+02
       2.110E-03 1.23E+00 3.09E-02 5.96E+02 0.00E+00 0.00E+00 5.97E+02 5.96E+02
       2.317E-03 1.18E+00 3.56E-02 4.56E+02 0.00E+00 0.00E+00 4.58E+02 4.56E+02
       2.543E-03 1.12E+00 4.07E-02 3.49E+02 0.00E+00 0.00E+00 3.50E+02 3.49E+02
       2.792E-03 1.05E+00 4.63E-02 2.66E+02 0.00E+00 0.00E+00 2.67E+02 2.66E+02
       3.065E-03 9.86E-01 5.23E-02 2.03E+02 0.00E+00 0.00E+00 2.04E+02 2.03E+02
       3.365E-03 9.16E-01 5.86E-02 1.54E+02 0.00E+00 0.00E+00 1.55E+02 1.54E+02
       3.695E-03 8.44E-01 6.52E-02 1.17E+02 0.00E+00 0.00E+00 1.18E+02 1.17E+02
       4.056E-03 7.73E-01 7.20E-02 8.85E+01 0.00E+00 0.00E+00 8.94E+01 8.86E+01
       4.453E-03 7.02E-01 7.89E-02 6.69E+01 0.00E+00 0.00E+00 6.77E+01 6.70E+01
       4.889E-03 6.34E-01 8.58E-02 5.05E+01 0.00E+00 0.00E+00 5.12E+01 5.06E+01
       5.367E-03 5.69E-01 9.25E-02 3.81E+01 0.00E+00 0.00E+00 3.87E+01 3.82E+01
       5.892E-03 5.09E-01 9.91E-02 2.86E+01 0.00E+00 0.00E+00 2.93E+01 2.87E+01
       6.469E-03 4.53E-01 1.05E-01 2.15E+01 0.00E+00 0.00E+00 2.21E+01 2.16E+01
       7.101E-03 4.03E-01 1.11E-01 1.61E+01 0.00E+00 0.00E+00 1.67E+01 1.63E+01
       7.796E-03 3.57E-01 1.17E-01 1.21E+01 0.00E+00 0.00E+00 1.26E+01 1.22E+01
       8.559E-03 3.15E-01 1.22E-01 9.05E+00 0.00E+00 0.00E+00 9.49E+00 9.17E+00
       9.397E-03 2.79E-01 1.27E-01 6.77E+00 0.00E+00 0.00E+00 7.17E+00 6.89E+00
       1.032E-02 2.46E-01 1.31E-01 5.05E+00 0.00E+00 0.00E+00 5.43E+00 5.18E+00
       1.132E-02 2.17E-01 1.35E-01 3.76E+00 0.00E+00 0.00E+00 4.12E+00 3.90E+00
       1.243E-02 1.92E-01 1.39E-01 2.80E+00 0.00E+00 0.00E+00 3.13E+00 2.94E+00
       1.365E-02 1.69E-01 1.42E-01 2.08E+00 0.00E+00 0.00E+00 2.39E+00 2.22E+00
       1.499E-02 1.49E-01 1.45E-01 1.55E+00 0.00E+00 0.00E+00 1.84E+00 1.69E+00
       1.645E-02 1.31E-01 1.48E-01 1.15E+00 0.00E+00 0.00E+00 1.43E+00 1.30E+00
       1.806E-02 1.15E-01 1.51E-01 8.50E-01 0.00E+00 0.00E+00 1.12E+00 1.00E+00
       1.983E-02 1.00E-01 1.54E-01 6.30E-01 0.00E+00 0.00E+00 8.84E-01 7.83E-01
       2.177E-02 8.71E-02 1.56E-01 4.66E-01 0.00E+00 0.00E+00 7.09E-01 6.22E-01
       2.390E-02 7.55E-02 1.58E-01 3.44E-01 0.00E+00 0.00E+00 5.78E-01 5.02E-01
       2.624E-02 6.52E-02 1.60E-01 2.54E-01 0.00E+00 0.00E+00 4.79E-01 4.14E-01
       2.880E-02 5.61E-02 1.61E-01 1.87E-01 0.00E+00 0.00E+00 4.04E-01 3.48E-01
       3.162E-02 4.81E-02 1.62E-01 1.38E-01 0.00E+00 0.00E+00 3.48E-01 3.00E-01
       3.472E-02 4.11E-02 1.62E-01 1.02E-01 0.00E+00 0.00E+00 3.05E-01 2.64E-01
       3.811E-02 3.50E-02 1.62E-01 7.49E-02 0.00E+00 0.00E+00 2.72E-01 2.37E-01
       4.184E-02 2.97E-02 1.62E-01 5.52E-02 0.00E+00 0.00E+00 2.47E-01 2.17E-01
       4.594E-02 2.52E-02 1.62E-01 4.06E-02 0.00E+00 0.00E+00 2.27E-01 2.02E-01
       5.043E-02 2.13E-02 1.61E-01 2.98E-02 0.00E+00 0.00E+00 2.12E-01 1.91E-01
       5.537E-02 1.80E-02 1.60E-01 2.19E-02 0.00E+00 0.00E+00 2.00E-01 1.82E-01
       6.078E-02 1.52E-02 1.58E-01 1.61E-02 0.00E+00 0.00E+00 1.89E-01 1.74E-01
       6.673E-02 1.28E-02 1.56E-01 1.18E-02 0.00E+00 0.00E+00 1.81E-01 1.68E-01
       7.326E-02 1.08E-02 1.54E-01 8.69E-03 0.00E+00 0.00E+00 1.74E-01 1.63E-01
       8.043E-02 9.05E-03 1.52E-01 6.38E-03 0.00E+00 0.00E+00 1.68E-01 1.58E-01
       8.830E-02 7.59E-03 1.50E-01 4.69E-03 0.00E+00 0.00E+00 1.62E-01 1.54E-01
       9.694E-02 6.35E-03 1.47E-01 3.45E-03 0.00E+00 0.00E+00 1.57E-01 1.50E-01
       1.064E-01 5.32E-03 1.44E-01 2.53E-03 0.00E+00 0.00E+00 1.52E-01 1.47E-01
       1.168E-01 4.44E-03 1.41E-01 1.86E-03 0.00E+00 0.00E+00 1.47E-01 1.43E-01
       1.283E-01 3.71E-03 1.38E-01 1.37E-03 0.00E+00 0.00E+00 1.43E-01 1.39E-01
       1.408E-01 3.09E-03 1.35E-01 1.01E-03 0.00E+00 0.00E+00 1.39E-01 1.36E-01
       1.546E-01 2.58E-03 1.31E-01 7.46E-04 0.00E+00 0.00E+00 1.35E-01 1.32E-01
       1.697E-01 2.15E-03 1.28E-01 5.51E-04 0.00E+00 0.00E+00 1.31E-01 1.29E-01
       1.863E-01 1.79E-03 1.24E-01 4.08E-04 0.00E+00 0.00E+00 1.27E-01 1.25E-01
       2.046E-01 1.49E-03 1.21E-01 3.03E-04 0.00E+00 0.00E+00 1.23E-01 1.21E-01
       2.246E-01 1.24E-03 1.17E-01 2.25E-04 0.00E+00 0.00E+00 1.19E-01 1.18E-01
       2.465E-01 1.03E-03 1.14E-01 1.68E-04 0.00E+00 0.00E+00 1.15E-01 1.14E-01
       2.707E-01 8.54E-04 1.10E-01 1.26E-04 0.00E+00 0.00E+00 1.11E-01 1.10E-01
       2.971E-01 7.09E-04 1.07E-01 9.46E-05 0.00E+00 0.00E+00 1.07E-01 1.07E-01
       3.262E-01 5.89E-04 1.03E-01 7.14E-05 0.00E+00 0.00E+00 1.04E-01 1.03E-01
       3.581E-01 4.89E-04 9.94E-02 5.42E-05 0.00E+00 0.00E+00 9.99E-02 9.95E-02
       3.932E-01 4.06E-04 9.59E-02 4.13E-05 0.00E+00 0.00E+00 9.63E-02 9.59E-02
       4.317E-01 3.37E-04 9.24E-02 3.17E-05 0.00E+00 0.00E+00 9.28E-02 9.24E-02
       4.739E-01 2.80E-04 8.90E-02 2.45E-05 0.00E+00 0.00E+00 8.93E-02 8.90E-02
       5.203E-01 2.32E-04 8.56E-02 1.91E-05 0.00E+00 0.00E+00 8.58E-02 8.56E-02
       5.712E-01 1.93E-04 8.22E-02 1.50E-05 0.00E+00 0.00E+00 8.25E-02 8.23E-02
       6.270E-01 1.60E-04 7.90E-02 1.18E-05 0.00E+00 0.00E+00 7.91E-02 7.90E-02
       6.884E-01 1.33E-04 7.58E-02 9.30E-06 0.00E+00 0.00E+00 7.59E-02 7.58E-02
       7.558E-01 1.10E-04 7.26E-02 7.48E-06 0.00E+00 0.00E+00 7.28E-02 7.26E-02
       8.297E-01 9.15E-05 6.96E-02 6.24E-06 0.00E+00 0.00E+00 6.97E-02 6.96E-02
       9.109E-01 7.59E-05 6.66E-02 5.26E-06 0.00E+00 0.00E+00 6.67E-02 6.66E-02
       1.000E+00 6.30E-05 6.36E-02 4.14E-06 0.00E+00 0.00E+00 6.37E-02 6.37E-02

