Constituents (Atomic Number : Fraction by Weight)

 Z=16	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.000E-03 2.95E+00 1.01E-02 2.43E+03 0.00E+00 0.00E+00 2.43E+03 2.43E+03
       1.098E-03 2.90E+00 1.18E-02 1.90E+03 0.00E+00 0.00E+00 1.90E+03 1.90E+03
       1.205E-03 2.84E+00 1.38E-02 1.48E+03 0.00E+00 0.00E+00 1.48E+03 1.48E+03
       1.323E-03 2.78E+00 1.61E-02 1.16E+03 0.00E+00 0.00E+00 1.16E+03 1.16E+03
       1.453E-03 2.72E+00 1.86E-02 9.05E+02 0.00E+00 0.00E+00 9.08E+02 9.05E+02
       1.595E-03 2.65E+00 2.14E-02 7.05E+02 0.00E+00 0.00E+00 7.07E+02 7.05E+02
       1.751E-03 2.56E+00 2.44E-02 5.48E+02 0.00E+00 0.00E+00 5.51E+02 5.48E+02
       1.922E-03 2.47E+00 2.77E-02 4.26E+02 0.00E+00 0.00E+00 4.29E+02 4.26E+02
       2.110E-03 2.37E+00 3.12E-02 3.31E+02 0.00E+00 0.00E+00 3.33E+02 3.31E+02
       2.317E-03 2.26E+00 3.50E-02 2.56E+02 0.00E+00 0.00E+00 2.59E+02 2.56E+02
       2.543E-03 2.15E+00 3.89E-02 1.94E+03 0.00E+00 0.00E+00 1.95E+03 1.94E+03
       2.792E-03 2.04E+00 4.31E-02 1.58E+03 0.00E+00 0.00E+00 1.58E+03 1.58E+03
       3.065E-03 1.92E+00 4.74E-02 1.27E+03 0.00E+00 0.00E+00 1.27E+03 1.27E+03
       3.365E-03 1.81E+00 5.18E-02 1.00E+03 0.00E+00 0.00E+00 1.00E+03 1.00E+03
       3.695E-03 1.69E+00 5.62E-02 7.83E+02 0.00E+00 0.00E+00 7.84E+02 7.83E+02
       4.056E-03 1.58E+00 6.07E-02 6.09E+02 0.00E+00 0.00E+00 6.11E+02 6.09E+02
       4.453E-03 1.48E+00 6.52E-02 4.74E+02 0.00E+00 0.00E+00 4.76E+02 4.74E+02
       4.889E-03 1.38E+00 6.96E-02 3.69E+02 0.00E+00 0.00E+00 3.71E+02 3.69E+02
       5.367E-03 1.28E+00 7.41E-02 2.86E+02 0.00E+00 0.00E+00 2.88E+02 2.86E+02
       5.892E-03 1.19E+00 7.86E-02 2.21E+02 0.00E+00 0.00E+00 2.22E+02 2.21E+02
       6.469E-03 1.10E+00 8.31E-02 1.71E+02 0.00E+00 0.00E+00 1.72E+02 1.71E+02
       7.101E-03 1.02E+00 8.77E-02 1.31E+02 0.00E+00 0.00E+00 1.32E+02 1.31E+02
       7.796E-03 9.33E-01 9.23E-02 1.01E+02 0.00E+00 0.00E+00 1.02E+02 1.01E+02
       8.559E-03 8.53E-01 9.70E-02 7.72E+01 0.00E+00 0.00E+00 7.82E+01 7.73E+01
       9.397E-03 7.74E-01 1.02E-01 5.90E+01 0.00E+00 0.00E+00 5.99E+01 5.91E+01
       1.032E-02 6.98E-01 1.07E-01 4.50E+01 0.00E+00 0.00E+00 4.58E+01 4.51E+01
       1.132E-02 6.24E-01 1.11E-01 3.43E+01 0.00E+00 0.00E+00 3.50E+01 3.44E+01
       1.243E-02 5.55E-01 1.16E-01 2.61E+01 0.00E+00 0.00E+00 2.67E+01 2.62E+01
