    Constituents (Atomic Number : Fraction by Weight)

 Z=54	: 1.000000
Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
1.000E-03 8.46E+00 4.42E-03 9.40E+03 0.00E+00 0.00E+00 9.41E+03 9.40E+03 
1.072E-03 8.39E+00 4.97E-03 8.13E+03 0.00E+00 0.00E+00 8.14E+03 8.13E+03 
1.149E-03 8.33E+00 5.58E-03 7.33E+03 0.00E+00 0.00E+00 7.34E+03 7.33E+03 
1.149E-03 8.33E+00 5.58E-03 7.33E+03 0.00E+00 0.00E+00 7.34E+03 7.33E+03 
1.500E-03 8.00E+00 8.52E-03 4.08E+03 0.00E+00 0.00E+00 4.08E+03 4.08E+03 
2.000E-03 7.48E+00 1.28E-02 2.08E+03 0.00E+00 0.00E+00 2.09E+03 2.08E+03 
3.000E-03 6.48E+00 2.12E-02 7.72E+02 0.00E+00 0.00E+00 7.78E+02 7.72E+02 
4.000E-03 5.64E+00 2.87E-02 3.73E+02 0.00E+00 0.00E+00 3.79E+02 3.73E+02 
4.782E-03 5.09E+00 3.38E-02 2.36E+02 0.00E+00 0.00E+00 2.41E+02 2.36E+02 
4.782E-03 5.09E+00 3.38E-02 2.36E+02 0.00E+00 0.00E+00 2.41E+02 2.36E+02 
5.000E-03 4.94E+00 3.52E-02 6.34E+02 0.00E+00 0.00E+00 6.39E+02 6.34E+02 
5.104E-03 4.88E+00 3.58E-02 8.13E+02 0.00E+00 0.00E+00 8.18E+02 8.13E+02 
5.104E-03 4.88E+00 3.58E-02 8.13E+02 0.00E+00 0.00E+00 8.18E+02 8.13E+02 
5.275E-03 4.78E+00 3.68E-02 7.52E+02 0.00E+00 0.00E+00 7.56E+02 7.52E+02 
5.453E-03 4.67E+00 3.78E-02 8.02E+02 0.00E+00 0.00E+00 8.06E+02 8.02E+02 
5.453E-03 4.67E+00 3.78E-02 8.02E+02 0.00E+00 0.00E+00 8.06E+02 8.02E+02 
6.000E-03 4.37E+00 4.07E-02 6.33E+02 0.00E+00 0.00E+00 6.37E+02 6.33E+02 
8.000E-03 3.46E+00 5.03E-02 3.00E+02 0.00E+00 0.00E+00 3.03E+02 3.00E+02 
1.000E-02 2.81E+00 5.85E-02 1.66E+02 0.00E+00 0.00E+00 1.69E+02 1.66E+02 
1.500E-02 1.85E+00 7.44E-02 5.55E+01 0.00E+00 0.00E+00 5.74E+01 5.56E+01 
2.000E-02 1.32E+00 8.49E-02 2.51E+01 0.00E+00 0.00E+00 2.65E+01 2.52E+01 
3.000E-02 7.55E-01 9.73E-02 8.08E+00 0.00E+00 0.00E+00 8.93E+00 8.17E+00 
